Category,Rating,Reviews,Content Rating,Size_in_bytes,Numeric_installs
BOOKS_AND_REFERENCE,4.6,4478,Everyone 10+,95000000.0,100000
DATING,3.5,2,Mature 17+,170000000.0,100
BUSINESS,4.5,207372,Everyone,110000000.0,5000000
COMMUNICATION,4.2,83239,Everyone,140000000.0,5000000
COMMUNICATION,4.2,83239,Everyone,140000000.0,5000000
EDUCATION,4.4,55256,Everyone,140000000.0,5000000
EDUCATION,4.4,55256,Everyone,140000000.0,5000000
COMMUNICATION,4.3,41420,Everyone,190000000.0,5000000
DATING,4.2,63986,Mature 17+,200000000.0,5000000
DATING,4.4,172460,Mature 17+,31000000.0,5000000
BUSINESS,4.6,188841,Everyone,32000000.0,5000000
HEALTH_AND_FITNESS,4.4,70769,Everyone,350000000.0,5000000
HEALTH_AND_FITNESS,4.4,70769,Everyone,350000000.0,5000000
HEALTH_AND_FITNESS,4.4,70769,Everyone,350000000.0,5000000
BOOKS_AND_REFERENCE,4.1,85842,Everyone,370000000.0,5000000
EDUCATION,4.5,9770,Everyone,390000000.0,5000000
HEALTH_AND_FITNESS,4.5,126017,Everyone,43000000.0,5000000
LIFESTYLE,4.3,34327,Everyone,81000000.0,5000000
LIFESTYLE,4.6,51357,Everyone,800000000.0,5000000
FINANCE,4.1,31804,Everyone,98000000.0,5000000
BEAUTY,3.8,9,Everyone,34000000.0,5000
COMICS,4.2,21,Everyone,67000000.0,5000
GAME,4.5,1135631,Teen,590000000.0,50000000
GAME,4.5,1137271,Teen,590000000.0,50000000
GAME,4.5,1137267,Teen,590000000.0,50000000
COMMUNICATION,4.6,2264916,Everyone,61000000.0,50000000
GAME,4.3,1300490,Everyone,780000000.0,50000000
EVENTS,4.6,731,Everyone,110000000.0,50000
FOOD_AND_DRINK,4.1,1268,Everyone,23000000.0,50000
EDUCATION,4.0,316,Everyone,290000000.0,50000
AUTO_AND_VEHICLES,4.6,197,Everyone,34000000.0,50000
LIBRARIES_AND_DEMO,4.5,929,Everyone,70000000.0,50000
FOOD_AND_DRINK,4.1,278,Everyone,72000000.0,50000
COMMUNICATION,4.3,4785892,Everyone,110000000.0,500000000
COMMUNICATION,4.3,4785988,Everyone,110000000.0,500000000
COMMUNICATION,4.3,4785988,Everyone,110000000.0,500000000
GAME,4.3,10485308,Everyone,240000000.0,500000000
GAME,4.3,10485334,Everyone,240000000.0,500000000
COMMUNICATION,4.5,17712922,Teen,400000000.0,500000000
COMMUNICATION,4.5,17714850,Teen,400000000.0,500000000
GAME,4.3,8118609,Everyone,620000000.0,500000000
GAME,4.3,8118937,Everyone,620000000.0,500000000
GAME,4.3,8118937,Everyone,620000000.0,500000000
EDUCATION,4.6,10611,Everyone,110000000.0,500000
LIFESTYLE,4.1,3309,Everyone,130000000.0,500000
AUTO_AND_VEHICLES,4.0,1754,Everyone,140000000.0,500000
FOOD_AND_DRINK,4.7,3803,Everyone,150000000.0,500000
AUTO_AND_VEHICLES,4.8,7021,Everyone,170000000.0,500000
COMMUNICATION,4.1,12578,Everyone,23000000.0,500000
BOOKS_AND_REFERENCE,4.6,1435,Everyone,28000000.0,500000
BEAUTY,4.4,2280,Everyone,240000000.0,500000
HEALTH_AND_FITNESS,4.3,7895,Everyone,33000000.0,500000
HEALTH_AND_FITNESS,4.3,7895,Everyone,33000000.0,500000
FINANCE,4.1,4344,Everyone,45000000.0,500000
EDUCATION,4.4,390,Everyone,410000000.0,500000
DATING,4.2,2506,Mature 17+,61000000.0,500000
LIFESTYLE,4.5,10097,Everyone,75000000.0,500000
HOUSE_AND_HOME,4.3,4435,Everyone,79000000.0,500000
HOUSE_AND_HOME,4.3,4435,Everyone,79000000.0,500000
HOUSE_AND_HOME,3.7,2758,Everyone,86000000.0,500000
FINANCE,4.6,11066,Everyone,91000000.0,500000
ART_AND_DESIGN,4.0,591,Everyone,94000000.0,500000
COMMUNICATION,4.3,192948,Everyone,66000000.0,10000000
COMMUNICATION,4.0,36901,Everyone,66000000.0,5000000
LIFESTYLE,4.3,9412,Everyone,17000000.0,1000000
COMMUNICATION,4.1,17529,Everyone,100000000.0,1000000
DATING,4.1,6701,Mature 17+,110000000.0,1000000
FOOD_AND_DRINK,3.8,22513,Everyone,110000000.0,1000000
DATING,3.6,11806,Mature 17+,120000000.0,1000000
HOUSE_AND_HOME,3.9,10117,Everyone,130000000.0,1000000
FINANCE,4.2,21996,Everyone,140000000.0,1000000
GAME,4.4,9305,Everyone,140000000.0,1000000
FINANCE,4.6,161440,Everyone,160000000.0,1000000
AUTO_AND_VEHICLES,4.6,31433,Everyone,170000000.0,1000000
COMMUNICATION,4.2,15287,Everyone,170000000.0,1000000
FOOD_AND_DRINK,4.2,8509,Everyone,170000000.0,1000000
FOOD_AND_DRINK,4.6,4925,Everyone,170000000.0,1000000
AUTO_AND_VEHICLES,4.6,5097,Everyone,190000000.0,1000000
BOOKS_AND_REFERENCE,4.4,30105,Everyone,21000000.0,1000000
COMMUNICATION,4.1,13100,Everyone,22000000.0,1000000
COMICS,4.1,12088,Mature 17+,210000000.0,1000000
EDUCATION,4.3,47847,Everyone,210000000.0,1000000
HOUSE_AND_HOME,4.1,24977,Everyone,210000000.0,1000000
EDUCATION,4.2,6736,Mature 17+,220000000.0,1000000
LIFESTYLE,4.4,13213,Everyone,220000000.0,1000000
LIFESTYLE,4.8,28588,Everyone,240000000.0,1000000
FOOD_AND_DRINK,4.0,43614,Everyone,250000000.0,1000000
FINANCE,3.6,15247,Everyone,280000000.0,1000000
HEALTH_AND_FITNESS,4.8,51227,Everyone,280000000.0,1000000
HEALTH_AND_FITNESS,4.6,48226,Everyone,280000000.0,1000000
HEALTH_AND_FITNESS,4.6,48226,Everyone,280000000.0,1000000
AUTO_AND_VEHICLES,3.7,4806,Everyone,350000000.0,1000000
ENTERTAINMENT,4.7,11661,Everyone,40000000.0,1000000
ENTERTAINMENT,4.3,64448,Mature 17+,44000000.0,1000000
ENTERTAINMENT,4.0,11656,Everyone,45000000.0,1000000
HEALTH_AND_FITNESS,4.3,26652,Everyone,410000000.0,1000000
HEALTH_AND_FITNESS,4.4,26540,Everyone,430000000.0,1000000
HEALTH_AND_FITNESS,4.4,26540,Everyone,430000000.0,1000000
HEALTH_AND_FITNESS,4.6,71269,Everyone,490000000.0,1000000
BOOKS_AND_REFERENCE,4.8,116507,Teen,50000000.0,1000000
DATING,4.2,22544,Mature 17+,59000000.0,1000000
DATING,4.2,22545,Mature 17+,59000000.0,1000000
FINANCE,4.1,70782,Everyone,500000000.0,1000000
LIFESTYLE,3.2,16168,Everyone,550000000.0,1000000
HEALTH_AND_FITNESS,4.1,18539,Everyone,570000000.0,1000000
HEALTH_AND_FITNESS,4.1,18539,Everyone,570000000.0,1000000
DATING,4.2,40035,Mature 17+,65000000.0,1000000
DATING,4.2,40039,Mature 17+,65000000.0,1000000
DATING,4.0,51698,Mature 17+,630000000.0,1000000
FINANCE,4.5,19870,Everyone,74000000.0,1000000
EDUCATION,4.8,256079,Teen,76000000.0,1000000
DATING,4.1,97684,Mature 17+,79000000.0,1000000
DATING,4.2,57081,Mature 17+,79000000.0,1000000
DATING,4.2,57083,Mature 17+,79000000.0,1000000
DATING,4.1,97699,Mature 17+,79000000.0,1000000
HOUSE_AND_HOME,3.4,3280,Everyone,770000000.0,1000000
COMMUNICATION,4.3,37320,Everyone,84000000.0,1000000
BUSINESS,3.9,16589,Everyone,91000000.0,1000000
HOUSE_AND_HOME,4.3,10054,Everyone,91000000.0,1000000
ENTERTAINMENT,4.4,17682,Everyone,97000000.0,1000000
DATING,3.5,35,Mature 17+,160000000.0,1000
DATING,3.5,35,Mature 17+,160000000.0,1000
COMICS,5.0,15,Everyone,370000000.0,1000
DATING,5.0,5,Mature 17+,44000000.0,1000
DATING,4.8,84,Mature 17+,45000000.0,1000
DATING,4.2,24,Mature 17+,49000000.0,1000
EDUCATION,4.9,11,Everyone,630000000.0,1000
COMMUNICATION,4.2,190613,Everyone,110000000.0,10000000
LIFESTYLE,4.6,161143,Everyone 10+,110000000.0,10000000
HOUSE_AND_HOME,4.5,162243,Everyone,120000000.0,10000000
HOUSE_AND_HOME,4.5,162243,Everyone,120000000.0,10000000
LIFESTYLE,4.4,95557,Everyone,160000000.0,10000000
GAME,4.4,74673,Everyone,170000000.0,10000000
EDUCATION,4.1,200058,Everyone,180000000.0,10000000
FOOD_AND_DRINK,4.7,611136,Everyone,190000000.0,10000000
GAME,4.3,42053,Everyone,240000000.0,10000000
COMMUNICATION,4.4,136662,Everyone,320000000.0,10000000
COMMUNICATION,3.9,40751,Teen,350000000.0,10000000
COMMUNICATION,4.4,615381,Mature 17+,370000000.0,10000000
GAME,3.8,270687,Teen,380000000.0,10000000
GAME,4.5,148897,Everyone,460000000.0,10000000
GAME,4.5,148895,Everyone,460000000.0,10000000
GAME,4.5,461137,Everyone,600000000.0,10000000
FOOD_AND_DRINK,3.4,109784,Everyone,640000000.0,10000000
GAME,4.4,257724,Everyone 10+,690000000.0,10000000
FINANCE,4.2,278082,Everyone,700000000.0,10000000
GAME,4.5,655067,Teen,720000000.0,10000000
ENTERTAINMENT,4.3,256664,Everyone,770000000.0,10000000
COMMUNICATION,4.0,122498,Everyone,790.0,10000000
COMMUNICATION,4.5,349384,Everyone,82000000.0,10000000
ART_AND_DESIGN,4.7,158,Everyone,110000000.0,10000
BEAUTY,4.8,104,Everyone,120000000.0,10000
LIBRARIES_AND_DEMO,4.6,130,Everyone,120000000.0,10000
ART_AND_DESIGN,4.2,117,Everyone,150000000.0,10000
LIBRARIES_AND_DEMO,4.4,58,Everyone,150000000.0,10000
DATING,3.3,149,Mature 17+,160000000.0,10000
BEAUTY,4.5,134,Everyone,170000000.0,10000
ART_AND_DESIGN,4.1,159,Everyone,190000000.0,10000
BEAUTY,4.2,30,Everyone,29000000.0,10000
BEAUTY,4.4,74,Everyone,29000000.0,10000
BEAUTY,4.1,66,Everyone,29000000.0,10000
ART_AND_DESIGN,4.7,121,Everyone,31000000.0,10000
BEAUTY,4.2,62,Everyone,31000000.0,10000
DATING,4.7,791,Mature 17+,37000000.0,10000
DATING,4.7,478,Mature 17+,45000000.0,10000
DATING,4.7,158,Mature 17+,45000000.0,10000
COMICS,4.5,144,Everyone,47000000.0,10000
DATING,4.8,110,Mature 17+,49000000.0,10000
DATING,4.8,110,Mature 17+,49000000.0,10000
DATING,4.6,185,Mature 17+,50000000.0,10000
DATING,4.6,185,Mature 17+,50000000.0,10000
DATING,2.8,80,Teen,55000000.0,10000
DATING,2.8,80,Teen,55000000.0,10000
DATING,2.8,80,Teen,55000000.0,10000
AUTO_AND_VEHICLES,4.6,534,Everyone,57000000.0,10000
COMICS,4.7,3596,Teen,78000000.0,10000
COMICS,4.7,73,Everyone,83000000.0,10000
DATING,4.1,236,Mature 17+,88000000.0,10000
DATING,1.0,1,Mature 17+,92000000.0,10
GAME,4.5,14198297,Everyone,520000000.0,100000000
GAME,4.5,14198602,Everyone,520000000.0,100000000
GAME,4.5,14200344,Everyone,520000000.0,100000000
GAME,4.5,5465624,Teen,530000000.0,100000000
GAME,4.5,3197865,Everyone,820000000.0,100000000
AUTO_AND_VEHICLES,3.2,250,Everyone,11000000.0,100000
ART_AND_DESIGN,4.5,176,Everyone,100000000.0,100000
COMICS,3.9,2181,Teen,100000000.0,100000
FOOD_AND_DRINK,4.6,1398,Everyone 10+,100000000.0,100000
ART_AND_DESIGN,4.1,654,Everyone,120000000.0,100000
BOOKS_AND_REFERENCE,4.2,860,Everyone,130000000.0,100000
HOUSE_AND_HOME,4.5,7619,Everyone,130000000.0,100000
LIFESTYLE,4.2,3448,Everyone,130000000.0,100000
LIFESTYLE,4.4,3114,Everyone,130000000.0,100000
BEAUTY,4.6,4369,Everyone,140000000.0,100000
LIFESTYLE,4.5,3346,Teen,140000000.0,100000
HOUSE_AND_HOME,3.8,491,Everyone,150000000.0,100000
LIFESTYLE,4.7,2225,Everyone,150000000.0,100000
EDUCATION,4.2,3241,Everyone,160000000.0,100000
FOOD_AND_DRINK,4.5,454,Everyone,160000000.0,100000
FOOD_AND_DRINK,4.0,1077,Everyone,170000000.0,100000
EDUCATION,4.3,423,Everyone,210000000.0,100000
LIBRARIES_AND_DEMO,4.5,1703,Everyone,220000000.0,100000
AUTO_AND_VEHICLES,4.2,367,Everyone,250000000.0,100000
DATING,3.8,5164,Mature 17+,250000000.0,100000
DATING,3.8,5164,Mature 17+,250000000.0,100000
DATING,3.8,5168,Mature 17+,250000000.0,100000
HOUSE_AND_HOME,4.0,4281,Everyone,270000000.0,100000
BUSINESS,4.6,822,Everyone,31000000.0,100000
BOOKS_AND_REFERENCE,4.4,1322,Everyone,35000000.0,100000
BOOKS_AND_REFERENCE,3.4,1680,Everyone,40000000.0,100000
DATING,4.1,2212,Mature 17+,410000000.0,100000
DATING,4.1,2212,Mature 17+,410000000.0,100000
AUTO_AND_VEHICLES,4.3,138,Everyone,54000000.0,100000
ART_AND_DESIGN,4.1,203,Everyone,61000000.0,100000
BEAUTY,4.0,364,Everyone,64000000.0,100000
LIBRARIES_AND_DEMO,4.3,1465,Everyone,70000000.0,100000
COMICS,3.2,1446,Mature 17+,71000000.0,100000
BUSINESS,4.7,4162,Everyone,75000000.0,100000
FOOD_AND_DRINK,4.7,2707,Everyone,89000000.0,100000
ART_AND_DESIGN,4.2,1120,Everyone,92000000.0,100000
EVENTS,4.0,3782,Everyone,95000000.0,100000
LIBRARIES_AND_DEMO,4.5,399,Everyone,95000000.0,100000
DATING,3.0,2,Mature 17+,160000000.0,100
DATING,4.7,6,Mature 17+,49000000.0,100
DATING,4.7,6,Mature 17+,49000000.0,100
DATING,5.0,6,Mature 17+,50000000.0,100
DATING,5.0,5,Mature 17+,50000000.0,100
DATING,4.3,6,Mature 17+,90000000.0,100
GAME,4.5,531458,Everyone,1000000000.0,5000000
COMMUNICATION,4.2,104990,Everyone,100000000.0,5000000
FINANCE,4.0,48445,Everyone,100000000.0,5000000
BUSINESS,4.0,8941,Everyone,120000000.0,5000000
COMICS,3.2,93965,Teen,150000000.0,5000000
HEALTH_AND_FITNESS,4.5,121838,Everyone,150000000.0,5000000
